Mutant_Experiment_Sample_gene	Forebrain	Optic Tectum	Thalamus	Hypothalamus	Cerebellum	Hindbrain	Habenula	Posterior Tuberculum	Mutant_Experiment_Sample	Mutant_Experiment_Sample_gene_idx
CHD8	0.65835106	0.38333705	0.57892883	0.17723745	0.42841357	0.41237661242485002	0.454346	0.61788213	CHD8_exp3_wt_6	exp3_wt_6
CHD8	0.39460146	0.32336518	0.31580693	0.06032781	0.43320045	0.19853667914867401	0.34695113	0.26853335	CHD8_exp3_wt_7	exp3_wt_7
CHD8	0.53845638	0.40359864	0.45975119	0.08000641	0.46938777	0.293767690658569	0.38103741	0.39029521	CHD8_exp3_wt_8	exp3_wt_8
CHD8	0.49283355	0.30492163	0.38870579	0.08159362	0.36068308	0.46413543820381098	0.45985183	0.39765021	CHD8_exp3_wt_9	exp3_wt_9
CHD8	0.41670105	0.25979519	0.33235517	0.08855823	0.27058747	0.24779088795185	0.31436172	0.30263418	CHD8_exp3_wt_10	exp3_wt_10
CNTNAP2	0.71003377	0.80441499	0.78341883	0.22306608	1.11383605	0.72381937503814697	0.49214858	0.8325507	CNTNAP2_exp1_het_1	exp1_het_1
CNTNAP2	0.60415804	0.54099482	0.76144457	0.1580482	0.70820051	0.67837256193161	0.48563966	0.79182482	CNTNAP2_exp1_het_2	exp1_het_2
CNTNAP2	0.57528687	0.6475932	1.0083468	0.24968544	0.64515167	0.64638799428939797	0.52697772	1.05200589	CNTNAP2_exp1_het_3	exp1_het_3
CNTNAP2	0.63852519	0.6446203	0.99812794	0.40796039	0.96249443	0.99878925085067705	0.45318699	1.18873203	CNTNAP2_exp1_het_4	exp1_het_4
CNTNAP2	0.51998138	0.61961335	0.95910257	0.63513547	0.9967072	1.21688044071197	0.5877676	1.21538687	CNTNAP2_exp1_het_5	exp1_het_5
CNTNAP2	0.7456522	1.12838435	0.99480116	0.1071738	0.96999174	0.59410870075225797	0.57595611	0.73832196	CNTNAP2_exp1_hom_1	exp1_hom_1
CNTNAP2	0.67966485	0.61288494	1.18638182	0.73055214	1.40168977	1.2568281888961701	0.62607628	1.50228536	CNTNAP2_exp1_hom_2	exp1_hom_2
