perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Foxg1	3.68E-06	0.004361035	0.691138604	7.771048957	21.42471767	Excit_L5NP_CTX	Foxg1_1	1	Foxg1	passed_through
Foxg1	Chrm3	4.17E-06	0.004361035	3.365604943	6.145471293	21.18566825	Excit_L5NP_CTX	Foxg1_1	1	Chrm3	passed_through
Foxg1	Fam124a	5.75E-05	0.025703407	-0.628396823	7.595682681	16.18473361	Excit_L5NP_CTX	Foxg1_1	1	Fam124a	passed_through
Foxg1	Msra	7.78E-05	0.031898536	-1.38820739	6.9525612	15.61136891	Excit_L5NP_CTX	Foxg1_1	1	Msra	passed_through
Foxg1	Amigo2	1.29E-05	0.010271719	-2.852079243	6.169645931	19.02752817	Excit_L5NP_CTX	Foxg1_1	1	Amigo2	passed_through
Foxg1	Robo1	2.69E-05	0.016552481	0.921119294	7.400772487	17.62455551	Excit_L5NP_CTX	Foxg1_1	1	Robo1	passed_through
Foxg1	Apcdd1	3.01E-11	2.96E-07	2.62720236	6.767668374	44.17013141	Excit_L5NP_CTX	Foxg1_1	1	Apcdd1	passed_through
Foxg1	Zcchc12	1.87E-06	0.003070478	0.939038249	7.444006909	22.7222666	Excit_L5NP_CTX	Foxg1_1	1	Zcchc12	passed_through
Foxg1	Cntnap5a	6.80E-06	0.008374157	0.875004343	7.366674015	20.24947676	Excit_L2_IT_ENTl	Foxg1_1	1	Cntnap5a	passed_through
Foxg1	Sulf2	5.12E-05	0.039409796	2.507326647	6.482310991	16.40296112	Excit_L2_IT_ENTl	Foxg1_1	1	Sulf2	passed_through
Foxg1	Fam13a	5.00E-05	0.039409796	6.23966784	5.455145501	16.44673726	Excit_L2_IT_ENTl	Foxg1_1	1	Fam13a	passed_through
Foxg1	Lrrtm4	4.41E-09	2.17E-05	1.157257741	7.369926244	34.43406133	Excit_L2_IT_ENTl	Foxg1_1	1	Lrrtm4	passed_through
Foxg1	Spock3	1.06E-06	0.002084324	1.88302963	6.855810992	23.8094441	Excit_L2_IT_ENTl	Foxg1_1	1	Spock3	passed_through
Foxg1	Ankrd49	5.20E-05	0.039409796	4.58812854	5.813959237	16.37444883	Excit_L2_IT_ENTl	Foxg1_1	1	Ankrd49	passed_through
Foxg1	Dop1a	1.65E-05	0.018021407	5.22813279	5.980928194	18.5608903	Excit_L2_IT_ENTl	Foxg1_1	1	Dop1a	passed_through
Foxg1	Rnd2	1.48E-06	0.002084324	2.264361728	6.667735443	23.17335418	Excit_L2_IT_ENTl	Foxg1_1	1	Rnd2	passed_through
Foxg1	Foxg1	1.54E-07	0.000378992	0.996848452	7.460023803	27.54084542	Excit_L2_IT_ENTl	Foxg1_1	1	Foxg1	passed_through
Foxg1	Prkd1	2.64E-05	0.025976207	5.440559934	5.789370728	17.66407778	Excit_L2_IT_ENTl	Foxg1_1	1	Prkd1	passed_through
Foxg1	Shisa9	1.31E-06	0.002084324	1.60279093	6.990041785	23.40154428	Excit_L2_IT_ENTl	Foxg1_1	1	Shisa9	passed_through
Foxg1	Ncam2	3.02E-15	2.98E-11	1.593138635	7.386565978	62.25406995	Excit_L2_IT_ENTl	Foxg1_1	1	Ncam2	passed_through
Foxg1	Pcp4	2.00E-08	6.58E-05	0.990953801	7.750129304	31.49213865	Excit_L2_IT_ENTl	Foxg1_1	1	Pcp4	passed_through
Tcf4	Reln	1.95E-06	0.008805724	2.9085504	6.783058768	22.64570311	Inhib_Lhx6+Sst-	Tcf4_2	2	Reln	passed_through
Tcf4	Tenm4	3.20E-06	0.009653634	1.248622003	7.482406913	21.69077206	Inhib_Lhx6+Sst-	Tcf4_2	2	Tenm4	passed_through
Tcf4	Nrgn	1.87E-06	0.008805724	0.807761873	7.888670527	22.72581129	Inhib_Lhx6+Sst-	Tcf4_2	2	Nrgn	passed_through
Foxg1	Sntg1	0.000529665	0.024528037	-0.743055646	6.631445874	12.00821579	Excit_L6CT_CTX	Foxg1_1	1	Sntg1	passed_through
Foxg1	B3gat2	0.000800535	0.032634347	-1.612068638	5.784489451	11.23999281	Excit_L6CT_CTX	Foxg1_1	1	B3gat2	passed_through
Foxg1	Pantr1	0.000114289	0.007865723	-1.661012864	5.934313849	14.88465627	Excit_L6CT_CTX	Foxg1_1	1	Pantr1	passed_through
Foxg1	Spats2l	1.29E-16	1.78E-13	2.181527141	6.836973988	68.47141955	Excit_L6CT_CTX	Foxg1_1	1	Spats2l	passed_through
Foxg1	D630023F18Rik	2.52E-05	0.002361058	-2.335256818	5.076901984	17.74874486	Excit_L6CT_CTX	Foxg1_1	1	D630023F18Rik	passed_through
