index,gene_symbol,gene_name,Ensembl_ID,trait,experiment,source,source_URL,FWER_signif,FDR0.05
194,CDK13,cyclin dependent kinase 13 ,ENSG00000065883,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
195,CDK13,cyclin dependent kinase 13,ENSG00000065883,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
196,CDK13 ,cyclin dependent kinase 13 ,ENSG00000065883,"NDD, XLDD",RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
197,CDK13 ,cyclin dependent kinase 13 ,ENSG00000065883,"NDD, XLDD",RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
198,CDK8,cyclin dependent kinase 8,ENSG00000132964,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
199,CDKL5 ,cyclin dependent kinase like 5 ,ENSG00000008086,"NDD, XLDD",RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
200,CDKL5 ,cyclin dependent kinase like 5 ,ENSG00000008086,"NDD, XLDD",RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
201,CDKL5 ,cyclin dependent kinase like 5 ,ENSG00000008086,"NDD, XLDD",RVAS,DDDX_2021,https://pubmed.ncbi.nlm.nih.gov/33504798/,yes,yes
202,CDKN1C,cyclin dependent kinase inhibitor 1C,ENSG00000273707,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
203,CDKN2AIP,CDKN2A interacting protein,ENSG00000168564,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
204,CELF1,CUGBP Elav-like family member 1,ENSG00000149187,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
205,CELF2,CUGBP Elav-like family member 2,ENSG00000048740,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
206,CELF4,CUGBP Elav-like family member 4 ,ENSG00000101489,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,no,yes
207,CELF4,CUGBP Elav-like family member 4,ENSG00000101489,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
208,CELF4,CUGBP Elav-like family member 4 ,ENSG00000101489,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
209,CENPE,centromere protein E,ENSG00000138778,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
210,CENPV,centromere protein V,ENSG00000166582,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
211,CERT1,ceramide transporter 1 ,ENSG00000113163,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
212,CERT1,ceramide transporter 1 ,ENSG00000113163,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
213,CERT1,ceramide transporter 1,ENSG00000113163,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
214,CGREF1,cell growth regulator with EF-hand domain 1,ENSG00000138028,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
215,CHAMP1,chromosome alignment maintaining phosphoprotein 1 ,ENSG00000198824,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
216,CHAMP1,chromosome alignment maintaining phosphoprotein 1,ENSG00000198824,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
217,CHAMP1 ,chromosome alignment maintaining phosphoprotein 1 ,ENSG00000198824,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
218,CHAMP1 ,chromosome alignment maintaining phosphoprotein 1 ,ENSG00000198824,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
219,CHD2,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
220,CHD2,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,yes,Yes
221,CHD2,chromodomain helicase DNA binding protein 2,ENSG00000173575,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
222,CHD2,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
223,CHD2 ,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,yes,yes
224,CHD2 ,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
225,CHD2 ,chromodomain helicase DNA binding protein 2 ,ENSG00000173575,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
226,CHD3,chromodomain helicase DNA binding protein 3 ,ENSG00000170004,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
227,CHD3,chromodomain helicase DNA binding protein 3,ENSG00000170004,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
228,CHD4,chromodomain helicase DNA binding protein 4,ENSG00000111642,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
229,CHD4 ,chromodomain helicase DNA binding protein 4 ,ENSG00000111642,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
230,CHD4 ,chromodomain helicase DNA binding protein 4 ,ENSG00000111642,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
231,CHD5,chromodomain helicase DNA binding protein 5,ENSG00000116254,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
232,CHD7,chromodomain helicase DNA binding protein 7 ,ENSG00000171316,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
233,CHD7,chromodomain helicase DNA binding protein 7,ENSG00000171316,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
234,CHD8,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
235,CHD8,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,yes,Yes
236,CHD8,chromodomain helicase DNA binding protein 8,ENSG00000100888,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
237,CHD8,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
238,CHD8 ,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,yes,yes
239,CHD8 ,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
240,CHD8 ,chromodomain helicase DNA binding protein 8 ,ENSG00000100888,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
241,CHMP7,charged multivesicular body protein 7,ENSG00000147457,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
242,CIC,capicua transcriptional repressor,ENSG00000079432,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
